sample,condition_j,det_x,g_xy,det_transform_error,g_transform_error,sl_error,observer_det_error,observer_norm,observer_norm_transformed,norm_transform_error,norm_identity_error,projector_error,projector_trace_error,weighted_ray_error,euclidean_error,euclidean_min_eigenvalue
639,8.522193068498309,-3.4859847277878404,3.835023211678037,1.7825774361122948e-16,1.5808657130867508e-16,2.482534153247273e-16,6.541725542523133e-18,23.136374739465353,23.13637473946536,3.071106617875086e-16,0.0,2.1207493862803515e-17,0.0,1.6746046956943247e-16,1.4622497351953919e-15,0.11734068824331359
640,52.29776659906032,-6.239883236611155,-2.1150524078759663,4.109502842033149e-17,1.1838885483824143e-16,1.570092458683775e-16,1.5678687931428222e-15,11.231290769248906,11.23129076924894,3.0050668834087933e-15,1.107129904413766e-15,1.7844225683505885e-16,0.0,4.0951223370115163e-16,1.8041140529665816e-14,0.019121275439282194
641,2.1342320535725534,-0.7310616066026945,-1.216733292195832,4.019262130054894e-17,0.0,1.2412670766236366e-16,5.531158640629812e-18,3.178498162751515,3.1784981627515148,1.3971667973708377e-16,4.191500392112513e-16,2.833314729909845e-17,0.0,2.4658830059395614e-16,6.011861335157355e-16,0.4685526104464937
642,7.640567742747016,-0.05747446789361519,1.0136006796833381,4.1803233597928584e-17,4.644592805004985e-17,0.0,5.594315114139762e-16,2.1824423680481644,2.1824423680481635,4.069653488694204e-16,4.069653488694204e-16,1.8105194963390462e-16,0.0,2.870625030254915e-16,6.160192531462975e-16,0.13088032639318897
643,6.771465178983881,-1.4666313628502206,1.2220285078407778,6.582707633513684e-17,5.197170598573461e-17,3.5108334685767007e-16,2.775557561562892e-16,5.589324713804622,5.589324713804622,0.0,6.356248492820502e-16,3.302677499897602e-17,0.0,2.7195487636525644e-16,1.509604538050336e-15,0.14767852651795782
644,1.8163477979266642,-0.32775840400180895,1.533927039996885,1.442632726809647e-16,1.4346071104305835e-16,1.570092458683775e-16,1.3596524867679449e-17,1.4005762531498416,1.400576253149842,3.170760669769484e-16,0.0,1.574701336625361e-16,1.1102230246251565e-16,9.85314651750495e-17,4.073571897743256e-16,0.5505553513162436
645,10.001845911770713,0.1269202886229987,2.3119247716217695,8.70955823232868e-17,1.656090937136351e-16,2.220446049250313e-16,9.305364597889227e-16,7.554178699013267,7.554178699013271,4.702978073929545e-16,9.40595614785909e-16,7.986300906484171e-17,0.0,1.76902914790836e-16,7.551974770327668e-16,0.09998154428905649
646,3.870204014096531,-1.8829338159680629,0.27468297850108675,2.9254329181327065e-17,4.5861924952188636e-18,1.2412670766236366e-16,3.3804590983986867e-16,2.4882461497359016,2.488246149735902,1.7847479032458165e-16,1.7847479032458165e-16,1.5969601590191516e-16,1.1102230246251565e-16,1.4234596904146305e-16,7.24415068042524e-16,0.2583843116170823
647,1.4837285883399463,-0.6934651547814378,1.38239699378192,1.6388877461913565e-16,5.084820365203898e-17,2.2887833992611187e-16,1.1148193014404022e-16,2.4171403123095585,2.417140312309558,1.8372504384147186e-16,3.674500876829437e-16,1.5870654145646474e-16,2.220446049250313e-16,1.4497100492581545e-16,5.551115123125783e-16,0.6739777125402963
648,7.037994672475188,-5.877177482200691,1.8418832925921984,2.2553256336687316e-16,3.48643784561774e-17,0.0,6.666349361711486e-16,6.352011733010505,6.352011733010508,5.593052765216965e-16,5.593052765216965e-16,3.51668250202495e-16,2.220446049250313e-16,2.2099214585676652e-16,1.1156906181548317e-15,0.14208592738935819
649,56.30672593373585,-5.0741683399901545,-0.7522975322048862,2.200896951978125e-16,2.396254280275399e-17,2.2887833992611187e-16,2.433010126791218e-15,23.495122166821368,23.495122166821144,9.526273588843062e-15,1.3608962269775802e-15,2.1391670522990817e-16,2.220446049250313e-16,2.24113916530713e-16,2.7991096564827405e-15,0.01775986764311122
650,7.896112011669121,-4.485689163454663,1.0518828665182816,2.714641675981327e-17,2.3955619646903016e-17,1.2412670766236366e-16,5.5511151231257815e-17,10.526588404514424,10.526588404514426,1.6874952939533986e-16,3.374990587906797e-16,1.8601232470455477e-16,0.0,3.40275111870576e-16,5.924337753745293e-16,0.12664460667758531
651,58.99441135928968,9.739532567822716,3.304301438102141,3.191778830514523e-17,8.968779812595876e-17,1.1102230246251565e-16,1.2947314098277867e-15,19.335124601770364,19.335124601770666,1.5618242391383018e-14,9.187201406695893e-16,5.942845790462397e-17,0.0,1.2493202324070607e-16,2.4421138569758744e-14,0.016950758164352903
652,5.370520109380195,-0.4025273344711143,-0.9761444539087702,7.934192037207938e-17,1.1155946331180264e-16,2.482534153247273e-16,2.2331537307385247e-16,4.661252208024402,4.661252208024404,3.8109005051094007e-16,5.716350757664101e-16,4.378545814760851e-17,0.0,5.844817464694279e-17,2.031230687779178e-15,0.18620170479454812
653,7.811551396799478,-3.5915932236459756,1.0320826991722547,6.130970558964474e-17,5.790958536448246e-17,1.2412670766236366e-16,2.086313300080375e-16,1.8224221669144414,1.822422166914442,3.655211327367307e-16,2.4368075515782046e-16,5.4239157156159276e-17,0.0,4.644778061621235e-16,1.729609391456738e-15,0.1280155438021855
654,39.331947147759905,-1.6755162588371533,-0.8539857152759867,8.585784345349838e-17,2.4131294996813875e-17,1.2412670766236366e-16,1.784146017590271e-15,8.902163291427488,8.90216329142747,1.995421541088589e-15,1.5963372328708712e-15,1.2127340318477497e-16,1.1102230246251565e-16,1.324617887516875e-16,1.4576572825109486e-15,0.025424624828338616
655,19.597902480257392,-0.9162730315293217,-0.23102592199356514,2.56278422848401e-17,1.851166768167474e-16,1.1102230246251565e-16,2.0299247918864484e-17,0.9983295302886448,0.9983295302886457,8.881784197001252e-16,1.1102230246251565e-15,1.3864934998865038e-16,0.0,1.2225328739957006e-16,1.5312686560144293e-15,0.05102586876362506
656,2.2744802498499226,-13.03008025320322,0.05922700080643928,2.9418473727715e-17,7.910755055413526e-17,1.1102230246251565e-16,1.8874849906091906e-17,5.833973249582329,5.83397324958233,1.5224245667628188e-16,0.0,3.567055963124423e-17,0.0,3.7070813367260806e-16,1.3013026730590468e-15,0.4396608851916754
