case,time,actual_cycles,second_cycles,fourth_cycles,actual_a,predicted_a
base-broad,3.75,0.0,-2.733133486316757e-234,-2.7331334863167556e-234,3.76082572520532e-220,-1.2392677069162064e-211
base-broad,3.775,0.0,-1.8900121235629208e-233,-1.89001212356292e-233,4.308445986619696e-219,-1.2629339467937367e-210
base-broad,3.8000000000000003,0.0,-8.133498813406781e-233,-8.133498813406777e-233,4.853702888430153e-218,-1.2665017195618091e-209
base-broad,3.825,0.0,4.7966438117880636e-232,4.796643811788061e-232,5.378177453885747e-217,-1.250059703869587e-208
base-broad,3.85,0.0,1.9565513256174314e-230,1.9565513256174302e-230,5.862716727951345e-216,-1.2146298432967883e-207
base-broad,3.875,0.0,3.570311217060185e-229,3.570311217060183e-229,6.288617101983667e-215,-1.1620692597891183e-206
base-broad,3.9,0.0,5.261603575164339e-228,5.2616035751643356e-228,6.638847504695328e-214,-1.0949137539512032e-205
base-broad,3.9250000000000003,0.0,6.962238386803216e-227,6.962238386803212e-227,6.899198536786508e-213,-1.0161807198548774e-204
base-broad,3.95,0.0,8.59970803647585e-226,8.599708036475844e-226,7.059247811465021e-212,-9.291521399669372e-204
base-broad,3.975,0.0,1.0102340808913102e-224,1.0102340808913094e-224,7.1130495401114475e-211,-8.371584917912236e-203
base-broad,4.0,0.0,1.1404558560350508e-223,1.1404558560350498e-223,7.059485418390296e-210,-7.43382141256295e-202
base-broad,4.025,0.0,1.2451690990560434e-222,1.2451690990560423e-222,6.902250102251797e-209,-6.506946857875824e-201
base-broad,4.05,0.0,1.3203843648244274e-221,1.3203843648244261e-221,6.649483018123519e-208,-5.615374993750412e-200
base-broad,4.075,0.0,1.3638430328008407e-220,1.3638430328008395e-220,6.313093792242178e-207,-4.778492276980322e-199
base-broad,4.1,0.0,1.3751145130732183e-219,1.375114513073217e-219,5.907856760009572e-206,-4.010389074586142e-198
base-broad,4.125,0.0,1.3555339206380731e-218,1.3555339206380719e-218,5.45036771477575e-205,-3.3199928849750485e-197
base-broad,4.15,0.0,1.3079952925274019e-217,1.3079952925274005e-217,4.957961879501676e-204,-2.7115214170840823e-196
base-broad,4.175,0.0,1.2366308984367288e-216,1.2366308984367276e-216,4.447686411057896e-203,-2.185159304633019e-195
base-broad,4.2,0.0,1.1464175643258202e-215,1.1464175643258189e-215,3.9354054862601875e-202,-1.7378609920989403e-194
base-broad,4.225,0.0,1.042755159050602e-214,1.0427551590506007e-214,3.435094154371993e-201,-1.3641913836942322e-193
base-broad,4.25,0.0,9.310605181589109e-214,9.310605181589097e-214,2.9583521531130476e-200,-1.0571319139341552e-192
base-broad,4.275,0.0,8.164130676774202e-213,8.164130676774193e-213,2.5141441772570063e-199,-8.087993590737293e-192
base-broad,4.3,0.0,7.032778944398012e-212,7.032778944398003e-212,2.1087515101398683e-198,-6.11044907681446e-191
