waveform,time,a,a_dot
carrier,8.1,0.0185235137001602,-0.006557331518897475
carrier,8.125,0.018339704088969955,-0.008141285776628903
carrier,8.15,0.01811678937428327,-0.009684453483260847
carrier,8.175,0.017855884549133637,-0.011179256167349149
carrier,8.2,0.01755829011316934,-0.012618445906522693
carrier,8.225,0.01722548304884808,-0.013995154093367322
carrier,8.25,0.016859106952385693,-0.015302933000042328
carrier,8.275,0.01646096075965851,-0.01653580484423315
carrier,8.3,0.016032986751659543,-0.017688290374506987
carrier,8.325,0.015577257398164198,-0.018755455215017324
carrier,8.35,0.015095961612653504,-0.019732926126845286
carrier,8.375,0.014591390132720644,-0.020616931744937287
carrier,8.4,0.014065920458283419,-0.021404307408202962
carrier,8.425,0.013522001226172876,-0.022092527893311013
carrier,8.45,0.012962136307127345,-0.022679701735458156
carrier,8.475,0.012388868656791745,-0.023164594241300535
carrier,8.5,0.01180476407029783,-0.02354661217247334
carrier,8.525,0.011212395001853722,-0.0238258160531607
carrier,8.55,0.010614324480455739,-0.02400289604342431
carrier,8.575000000000001,0.010013090384591002,-0.024079173259738795
carrier,8.6,0.009411190009295075,-0.02405656766649339
carrier,8.625,0.008811065261048055,-0.023937588751519988
carrier,8.65,0.008215088336066345,-0.023725296321421365
carrier,8.675,0.007625548263740674,-0.023423281397370755
carrier,8.700000000000001,0.0070446381102880285,-0.023035620902484847
carrier,8.725,0.006474443248232523,-0.022566850060866554
carrier,8.75,0.00591693044033246,-0.02202191209305559
carrier,8.775,0.00537393814942328,-0.021406123716596392
carrier,8.8,0.004847167787238503,-0.02072512109591505
carrier,8.825000000000001,0.004338176305720241,-0.01998482026234688
carrier,8.85,0.0038483698166434837,-0.01919136067678225
carrier,8.875,0.00337899862495905,-0.018351062518377658
carrier,8.9,0.002931153340921277,-0.017470369295408045
carrier,8.925,0.002505762431138412,-0.016555804001543807
carrier,8.950000000000001,0.00210359085826017,-0.015613912241367739
carrier,8.975,0.0017252401392941717,-0.014651219226862454
carrier,9.0,0.0013711494619462593,-0.013674174863361118
carrier,9.025,0.001041598155562582,-0.012689113461840816
carrier,9.05,0.0007367091509876521,-0.011702202157838697
carrier,9.075000000000001,0.0004564536902508559,-0.010719405052894478
carrier,9.1,0.00020065692119735154,-0.009746436216026807
carrier,9.125,-3.099539941476361e-05,-0.008788729746170034
carrier,9.15,-0.00023894945163937514,-0.007851398440194396
carrier,9.175,-0.00042377496233031653,-0.006939210993603932
carrier,9.200000000000001,-0.0005861562212637393,-0.006056557220380101
carrier,9.225,-0.0007268823594863547,-0.005207433289480345
carrier,9.25,-0.0008468372075349481,-0.004395414160583733
carrier,9.275,-0.0009469886321994698,-0.003623647398690239
carrier,9.3,-0.0010283776356809213,-0.002894833257443877
carrier,9.325000000000001,-0.0010921071605234987,-0.0022112272345012523
carrier,9.35,-0.001139330840478876,-0.0015746280017203964
carrier,9.375,-0.0011712416874764414,-0.0009863884725586857
carrier,9.4,-0.0011890609015549876,-0.00044741155575399365
carrier,9.425,-0.0011940268423583239,4.183088170004314e-05
carrier,9.450000000000001,-0.0011873842872199912,0.0004812946676793833
carrier,9.475,-0.0011703740634560246,0.0008713374485637494
carrier,9.5,-0.0011442231115700193,0.0012127081677703387
carrier,9.525,-0.0011101351147905223,0.0015065155824514301
carrier,9.55,-0.0010692816799225894,0.001754211156064309
carrier,9.575000000000001,-0.0010227942488934257,0.0019575535366681855
carrier,9.6,-0.0009717566549587304,0.0021185856082238767
carrier,9.625,-0.0009171985396826714,0.00223959667756615
carrier,9.65,-0.0008600894793019556,0.0023230945786808627
carrier,9.675,-0.0008013340621570636,0.0023717673909133537
carrier,9.700000000000001,-0.0007417677115529228,0.0023884516412816087
carrier,9.725,-0.0006821535060487729,0.0023760953347984337
carrier,9.75,-0.0006231797537887129,0.0023377234570896577
carrier,9.775,-0.0005654585642967628,0.0022764039331309625
carrier,9.8,-0.0005095251576741117,0.0021952117957259863
carrier,9.825000000000001,-0.0004558381247263629,0.002097199407387008
carrier,9.85,-0.0004047803852756091,0.0019853608204614156
carrier,9.875,-0.00035666100656213607,0.0018626072189920108
carrier,9.9,-0.00031171766070845326,0.0017317331327986886
carrier,9.925,-0.0002701198121375895,0.0015953976187606782
carrier,9.950000000000001,-0.00023197246727490643,0.0014560940717797388
carrier,9.975,-0.0001973204925617936,0.0013161372188547143
carrier,10.0,-0.00016615340188976335,0.0011776382540692018
carrier,10.025,-0.0001384105294746276,0.0010424973236865189
carrier,10.05,-0.00011398656412742377,0.0009123855578015818
carrier,10.075000000000001,-9.273727696309228e-05,0.0007887424394788111
carrier,10.1,-7.4485487960753e-05,0.0006727659791114273
carrier,10.125,-5.902703768761816e-05,0.0005654142310482583
carrier,10.15,-4.613686185246877e-05,0.00046740434626747545
carrier,10.175,-3.557489871055981e-05,0.0003792175454784402
carrier,10.200000000000001,-2.709195212937927e-05,0.00030110711480418016
carrier,10.225,-2.0435241186030535e-05,0.0002331063504085895
carrier,10.25,-1.5353751450956954e-05,0.00017504480431989672
carrier,10.275,-1.1603158493790812e-05,0.00012655904773502445
carrier,10.3,-8.95039824862989e-06,8.711579028650155e-05
carrier,10.325000000000001,-7.177726287985307e-06,5.602578925094663e-05
carrier,10.35,-6.086271659883055e-06,3.2472209577305804e-05
carrier,10.375,-5.4990116650607234e-06,1.552890348820634e-05
carrier,10.4,-5.26307944325068e-06,4.193254690455386e-06
carrier,10.425,-5.251394283140182e-06,-2.5880420767927138e-06
carrier,10.450000000000001,-5.363408532950353e-06,-5.879806388951834e-06
carrier,10.475,-5.524972186017302e-06,-6.719543428006636e-06
carrier,10.5,-5.686998376822994e-06,-6.068377783456373e-06
carrier,10.525,-5.822939434989983e-06,-4.757068654382212e-06
carrier,10.55,-5.9248185903150415e-06,-3.433725332310923e-06
carrier,10.575000000000001,-5.9980696119346765e-06,-2.5155522767139965e-06
carrier,10.6,-6.055455559408712e-06,-2.1721432756487572e-06
carrier,10.625,-6.110973940897105e-06,-2.3392342692773725e-06
carrier,10.65,-6.174818167096957e-06,-2.7921498312906775e-06
carrier,10.675,-6.250599945708257e-06,-3.2500778218549467e-06
carrier,10.700000000000001,-6.33556523351638e-06,-3.5023286409023608e-06
