grid,r,phi,Z,mode
fine,6.7,0.6917444360560152,1.095702072962891,0.05684849156328217
fine,6.75,0.6892876101747826,1.0950234819080926,0.056193864480109525
fine,6.800000000000001,0.686724895538933,1.0943182164305918,0.05553976346810986
fine,6.8500000000000005,0.6840530455819533,1.0935857138339893,0.05488631841738284
fine,6.9,0.6812688434734125,1.0928254474175203,0.054233660604200595
fine,6.95,0.6783691166471683,1.0920369316841319,0.05358192266164354
fine,7.0,0.6753507523462899,1.09121972773894,0.05293123854371347
fine,7.050000000000001,0.6722107141541617,1.0903734488447296,0.052281743482403754
fine,7.1000000000000005,0.6689460594660241,1.0894977660950242,0.05163357393720183
fine,7.15,0.6655539578387384,1.0885924141589618,0.050986867536499045
fine,7.2,0.6620317101389606,1.0876571970459032,0.05034176301039
fine,7.25,0.6583767683913989,1.0866919938315003,0.0496984001143573
fine,7.300000000000001,0.65458675620963,1.0856967642810091,0.04905691954335881
fine,7.3500000000000005,0.6506594896723988,1.0846715543001493,0.04841746283586601
fine,7.4,0.6465929984887534,1.0836165011389354,0.047780172267440815
fine,7.45,0.6423855472762176,1.0825318382698732,0.04714519073348967
fine,7.5,0.6380356567579013,1.0814178998588972,0.04651266162089397
fine,7.550000000000001,0.633542124667529,1.0802751247456495,0.04588272866828852
fine,7.6000000000000005,0.6289040461363276,1.079104059849329,0.04525553581484308
fine,7.65,0.6241208333231217,1.0779053629175896,0.0446312270374972
fine,7.7,0.6191922340393694,1.076679804538933,0.04400994617670457
fine,7.75,0.6141183491147617,1.0754282693438881,0.04339183675085962
fine,7.800000000000001,0.6088996482469061,1.0741517563270413,0.04277704175970525
fine,7.8500000000000005,0.6035369840809178,1.072851378230698,0.042165703477155016
fine,7.9,0.5980316042718369,1.0715283599415895,0.04155796323410415
fine,7.95,0.5923851612948903,1.0701840358644747,0.040953961191950224
fine,8.0,0.5865997197858694,1.068819846250572,0.0403538361076921
fine,8.05,0.5806777612162759,1.0674373324742292,0.03975772509162473
fine,8.1,0.5746221857352514,1.0660381312678315,0.03916576335879277
fine,8.15,0.5684363110423213,1.0646239679422804,0.03857808397550569
fine,8.200000000000001,0.5621238681911966,1.0631966486380469,0.03799481760234747
fine,8.25,0.5556889942646425,1.0617580516693699,0.037416092235233026
