time,radius,case,a,chi
22.0,8.9,5,0.00010599678502658728,-0.000254249378066702
22.0,9.3,5,0.00010196685812139933,-0.00022191609151419545
22.0,9.700000000000001,5,9.854959179238416e-05,-0.00019291709013829036
22.0,10.100000000000001,5,9.558812397596699e-05,-0.00016724461359022264
22.0,10.5,5,9.297422024762473e-05,-0.00014474325928649488
22.0,10.9,5,9.055697417424934e-05,-0.00012516179174931177
22.0,11.3,5,8.823256579287358e-05,-0.00010820208031038197
22.0,11.700000000000001,5,8.589832627562967e-05,-9.355571137853082e-05
22.0,12.100000000000001,5,8.348307888373434e-05,-8.092697280240058e-05
22.0,12.5,5,8.092414338519849e-05,-7.004495438797343e-05
22.0,12.9,5,7.81756490505872e-05,-6.066835406408973e-05
22.0,13.3,5,7.522802864969997e-05,-5.258596969599132e-05
22.0,13.700000000000001,5,7.200916585606233e-05,-4.5614925085995065e-05
22.0,14.100000000000001,5,6.853376742078915e-05,-3.959788982198735e-05
22.0,14.5,5,6.475431083684049e-05,-3.4400005682391585e-05
22.0,14.9,5,6.0666116867394e-05,-2.9905891034603393e-05
22.0,15.3,5,5.6198136049085436e-05,-2.6016895902798975e-05
22.0,15.700000000000001,5,5.1431037729190055e-05,-2.2648670883232066e-05
22.0,16.1,5,4.615702613099715e-05,-1.9729056241236678e-05
22.0,16.5,5,4.033956649260783e-05,-1.7196270335900657e-05
22.0,16.900000000000002,5,3.4280504588261864e-05,-1.4997365447322193e-05
22.0,17.3,5,2.8161728350013375e-05,-1.3086916438957875e-05
22.0,17.7,5,2.1796467959101732e-05,-1.1425909105753496e-05
22.0,18.1,5,1.4906797663615033e-05,-9.980798306019283e-06
22.0,18.5,5,7.67638327488733e-06,-8.722709865155791e-06
22.0,18.900000000000002,5,6.802334109760045e-07,-7.626763884173809e-06
22.0,19.3,5,-5.584868531451399e-06,-6.671500300776964e-06
22.0,19.700000000000003,5,-1.1150714590122516e-05,-5.838390613127153e-06
22.0,20.1,5,-1.600088994757636e-05,-5.111422325276434e-06
22.0,20.5,5,-1.998876033293619e-05,-4.476744815935879e-06
22.0,20.900000000000002,5,-2.2892774077160295e-05,-3.922367140687785e-06
22.0,21.3,5,-2.4516514183057667e-05,-3.437899803596592e-06
22.0,21.700000000000003,5,-2.5292877017670344e-05,-3.0143338095886725e-06
22.0,22.1,5,-2.495605075132319e-05,-2.6438513734470677e-06
22.0,22.5,5,-2.3604216083028206e-05,-2.319663552381421e-06
22.0,22.900000000000002,5,-2.2136702242842127e-05,-2.0358708025926842e-06
22.0,23.3,5,-1.982160174581194e-05,-1.7873431020903334e-06
22.0,23.700000000000003,5,-1.4484359775538612e-05,-1.56961678124853e-06
22.0,24.1,5,-2.4741059659860486e-05,-1.3788056576665483e-06
22.0,24.5,5,-1.2843750780419803e-05,-1.2115244517473868e-06
22.0,24.900000000000002,5,0.00011822160403538732,-1.0648227093119742e-06
22.0,25.3,5,0.00037508151525285875,-9.361269547681938e-07
22.0,25.700000000000003,5,0.0006009627216262541,-8.231911832755026e-07
22.0,26.1,5,0.000619090347858854,-7.240551671761921e-07
22.0,26.5,5,0.0004262819624846289,-6.370074524806869e-07
22.0,26.900000000000002,5,0.00018879095421474806,-5.605525720375399e-07
22.0,27.3,5,5.0650763817868856e-05,-4.933830879270022e-07
22.0,27.700000000000003,5,6.113602218114627e-06,-4.3435559649103404e-07
22.0,28.1,5,-2.0915814502785792e-06,-3.824698008861046e-07
22.0,28.5,5,-2.5956889196108286e-06,-3.368502543074607e-07
22.0,28.900000000000002,5,-2.1767469631027854e-06,-2.9673047953295273e-07
22.0,29.3,5,-1.7626129802656813e-06,-2.614391578702274e-07
22.0,29.700000000000003,5,-1.4214049983405907e-06,-2.3038810769846435e-07
22.0,30.1,5,-1.1446227908804544e-06,-2.0306181320399508e-07
22.0,30.5,5,-9.20513754213533e-07,-1.7900829828707305e-07
22.0,30.900000000000002,5,-7.39260503002987e-07,-1.578311688392732e-07
22.0,31.3,5,-5.932081527456979e-07,-1.3918267045903927e-07
22.0,31.700000000000003,5,-4.7493641068124387e-07,-1.2275762915600732e-07
22.0,32.1,5,-3.7968487359700657e-07,-1.0828816029217584e-07
22.0,32.5,5,-3.0266102779273957e-07,-9.553904631771338e-08
22.0,32.9,5,-2.4014093541986336e-07,-8.430369707022999e-08
22.0,33.300000000000004,5,-1.905073203053016e-07,-7.440061779487636e-08
22.0,33.7,5,-1.5132190546483152e-07,-6.567031987217869e-08
22.0,34.1,5,-1.1810012817695509e-07,-5.797261774309315e-08
22.0,34.5,5,-9.137907088758059e-08,-5.118426288466628e-08
22.0,34.9,5,-7.22232393601348e-08,-4.519687207249934e-08
22.0,35.300000000000004,5,-5.178366693419033e-08,-3.9915112701500636e-08
22.0,35.7,5,-4.312909147626182e-08,-3.5255112738503406e-08
22.0,36.1,5,-2.4666839908161624e-08,-3.114306704977516e-08
22.0,36.5,5,-2.3185519177746322e-08,-2.7514015467365327e-08
22.0,36.9,5,-2.8214759102289976e-08,-2.4310771105124917e-08
22.0,37.300000000000004,5,3.237066952212095e-08,-2.1482980172291085e-08
22.0,37.7,5,1.5312089361655726e-07,-1.8986296913295425e-08
22.0,38.1,5,2.440253461639761e-07,-1.6781659374988783e-08
22.0,38.5,5,2.137735826465107e-07,-1.4834653507908476e-08
22.0,38.900000000000006,5,4.391436662582033e-08,-1.3114954681094012e-08
22.0,39.300000000000004,5,-1.9148295722912093e-07,-1.1595837060847488e-08
22.0,39.7,5,-3.697765135595194e-07,-1.0253742500069688e-08
24.0,0.1,2,-2.2388217243687798e-05,-0.000886429585750572
24.0,0.5,2,1.48451679147412e-07,-0.0008835909372641204
24.0,0.9,2,-8.36433848952274e-06,-0.0008769890262612963
24.0,1.3,2,-3.577587362141559e-06,-0.0008666755565187574
24.0,1.7000000000000002,2,-1.3235235985765046e-05,-0.0008527313749294727
24.0,2.1,2,-1.320198130416251e-06,-0.0008352659583451244
24.0,2.5,2,-2.8261129042199407e-05,-0.0008144167683396684
24.0,2.9000000000000004,2,-1.2552280624400614e-05,-0.0007903485178055986
24.0,3.3000000000000003,2,7.352421899470695e-05,-0.0007632523679332551
24.0,3.7,2,-0.00019237642337308078,-0.0007333452657493862
24.0,4.1000000000000005,2,-0.0014342345664749507,-0.000700869628348045
24.0,4.5,2,-0.0038904435423723397,-0.000666093553774236
24.0,4.9,2,-0.007081449854174623,-0.0006293116877231265
24.0,5.300000000000001,2,-0.009970748906508155,-0.0005908467769502717
24.0,5.7,2,-0.011489372414500154,-0.0005510520330665255
24.0,6.1000000000000005,2,-0.011088221301307264,-0.0005103146157275863
24.0,6.5,2,-0.008994293821838337,-0.000469060307650147
24.0,6.9,2,-0.006047152935567944,-0.0004277584180313332
24.0,7.300000000000001,2,-0.003249023731725297,-0.0003869241267519851
24.0,7.7,2,-0.001280593047581221,-0.0003471131493319283
24.0,8.1,2,-0.000289898092675892,-0.000308901691233247
24.0,8.5,2,4.13567610270576e-05,-0.0002728459862372892
24.0,8.9,2,0.00010939496409379316,-0.000239424046888647
24.0,9.3,2,0.00011400690939267151,-0.0002089761196963728
24.0,9.700000000000001,2,0.00010949377551252521,-0.0001816680551332767
24.0,10.100000000000001,2,0.00010457274788467533,-0.00015749254561215557
24.0,10.5,2,0.00010000567009063923,-0.00013630325008518542
24.0,10.9,2,9.577686064888807e-05,-0.0001178635825740065
24.0,11.3,2,9.181786570335715e-05,-0.00010189279635177548
24.0,11.700000000000001,2,8.809231642101378e-05,-8.81004613677885e-05
24.0,12.100000000000001,2,8.455668585897485e-05,-7.620810840143926e-05
24.0,12.5,2,8.118272214462373e-05,-6.59606240074749e-05
24.0,12.9,2,7.793520960470575e-05,-5.713077644479325e-05
24.0,13.3,2,7.479084504200825e-05,-4.951967881658638e-05
