grid,case,pattern,amplitude,time,local_chi,upstream_a,delta_chi,predicted_delta_chi,total_energy,charge
fine,1,single,0.002,28.1,0.000566787491920603,3.773680559268434e-05,1.1230548175450439e-10,1.1231799980515856e-10,2616.352795048472,2845.63039071916
fine,2,single,0.004,28.1,0.0005667878286867873,7.547138710725781e-05,4.4907166602946996e-10,4.4927199922063426e-10,2616.403016638614,2845.630390719161
fine,3,single,0.008,28.1,0.0005667891734907646,0.00015092498110896765,1.7938756432991226e-09,1.797087996882537e-09,2616.6039029991766,2845.63039071916
fine,4,single,-0.004,28.1,0.0005667878286867873,-7.547138710725781e-05,4.4907166602946996e-10,4.4927199922063426e-10,2616.403016638614,2845.630390719161
fine,5,counter,0.004,28.1,0.000566787819243114,6.787084121101892e-05,4.396279927555355e-10,4.3983111497722867e-10,2616.408515532155,2845.6303907191595
fine,6,counter,-0.004,28.1,0.000566787819243114,-6.787084121101892e-05,4.396279927555355e-10,4.3983111497722867e-10,2616.408515532155,2845.6303907191595
fine,0,single,0,28.2,0.0006002948733617445,0.0,0.0,0.0,2616.3360545182372,2845.6303907189495
fine,1,single,0.002,28.2,0.0006002949606973033,3.7785727261144615e-05,8.73355588152866e-11,8.736117292117202e-11,2616.3527950482835,2845.6303907189504
fine,2,single,0.004,28.2,0.0006002952223971192,7.556903324862742e-05,3.490353747128902e-10,3.494446916846881e-10,2616.403016638425,2845.6303907189513
fine,3,single,0.008,28.2,0.00060029626458543,0.00015111869574845386,1.3912236855161825e-09,1.3977787667387523e-09,2616.603902998986,2845.6303907189504
fine,4,single,-0.004,28.2,0.0006002952223971192,-7.556903324862742e-05,3.490353747128902e-10,3.494446916846881e-10,2616.403016638425,2845.6303907189513
fine,5,counter,0.004,28.2,0.0006002952146520947,6.798833948336907e-05,3.412903502560474e-10,3.417015005920895e-10,2616.408515531966,2845.6303907189495
fine,6,counter,-0.004,28.2,0.0006002952146520947,-6.798833948336907e-05,3.412903502560474e-10,3.417015005920895e-10,2616.408515531966,2845.6303907189495
fine,0,single,0,28.3,0.000632779840229759,0.0,0.0,0.0,2616.336054518048,2845.63039071874
fine,1,single,0.002,28.3,0.0006327798990972611,3.7834895925927526e-05,5.886750212725361e-11,5.890570319297403e-11,2616.3527950480943,2845.6303907187394
fine,2,single,0.004,28.3,0.0006327800752403036,7.566715021525216e-05,2.35010544553417e-10,2.356228127718961e-10,2616.4030166382354,2845.630390718741
fine,3,single,0.008,28.3,0.0006327807729175597,0.00015131316668367723,9.326878006900297e-10,9.424912510875844e-10,2616.603902998796,2845.6303907187403
fine,4,single,-0.004,28.3,0.0006327800752403036,-7.566715021525216e-05,2.35010544553417e-10,2.356228127718961e-10,2616.4030166382354,2845.630390718741
fine,5,counter,0.004,28.3,0.0006327800695543449,6.811993234049053e-05,2.293245859050566e-10,2.2993768409575938e-10,2616.4085155317757,2845.63039071874
fine,6,counter,-0.004,28.3,0.0006327800695543449,-6.811993234049053e-05,2.293245859050566e-10,2.2993768409575938e-10,2616.4085155317757,2845.63039071874
fine,0,single,0,28.400000000000002,0.0006641869461281063,0.0,0.0,0.0,2616.336054517859,2845.630390718529
fine,1,single,0.002,28.400000000000002,0.0006641869739551114,3.788416877729133e-05,2.782700513157682e-11,2.7877595595745293e-11,2616.352795047905,2845.6303907185297
fine,2,single,0.004,28.400000000000002,0.0006641870568299831,7.576544886784142e-05,1.107018768103582e-10,1.1151038238298117e-10,2616.403016638046,2845.6303907185306
fine,3,single,0.008,28.400000000000002,0.0006641873792271264,0.00015150778747382126,4.3309902008053375e-10,4.460415295319247e-10,2616.6039029986055,2845.6303907185306
fine,4,single,-0.004,28.400000000000002,0.0006641870568299831,-7.576544886784142e-05,1.107018768103582e-10,1.1151038238298117e-10,2616.403016638046,2845.6303907185306
fine,5,counter,0.004,28.400000000000002,0.0006641870534946507,6.82648815450456e-05,1.0736654436609844e-10,1.0817503925831671e-10,2616.408515531587,2845.630390718529
fine,6,counter,-0.004,28.400000000000002,0.0006641870534946507,-6.82648815450456e-05,1.0736654436609844e-10,1.0817503925831671e-10,2616.408515531587,2845.630390718529
fine,0,single,0,28.5,0.0006944626929626302,0.0,0.0,-0.0,2616.336054517669,2845.630390718319
fine,1,single,0.002,28.5,0.000694462688318006,3.793277763725977e-05,-4.6446242034717256e-12,-4.582339032449505e-12,2616.352795047715,2845.63039071832
fine,2,single,0.004,28.5,0.0006944626736361993,7.58623886636022e-05,-1.932643086365038e-11,-1.832935612979802e-11,2616.4030166378566,2845.630390718321
fine,3,single,0.008,28.5,0.00069446260368541,0.00015169944353386576,-8.927722016521811e-11,-7.331742451919208e-11,2616.603902998415,2845.6303907183215
fine,4,single,-0.004,28.5,0.0006944626736361993,-7.58623886636022e-05,-1.932643086365038e-11,-1.832935612979802e-11,2616.4030166378566,2845.630390718321
fine,5,counter,0.004,28.5,0.0006944626728546848,6.842090402990417e-05,-2.0107945365201163e-11,-1.9111866545028224e-11,2616.408515531397,2845.63039071832
fine,6,counter,-0.004,28.5,0.0006944626728546848,-6.842090402990417e-05,-2.0107945365201163e-11,-1.9111866545028224e-11,2616.408515531397,2845.63039071832
fine,0,single,0,28.6,0.0007235555097653945,0.0,0.0,-0.0,2616.3360545174805,2845.630390718109
fine,1,single,0.002,28.6,0.0007235554725169343,3.797777823349509e-05,-3.72484601756512e-11,-3.717489315751125e-11,2616.352795047527,2845.6303907181095
fine,2,single,0.004,28.6,0.0007235553598883274,7.595207606444464e-05,-1.498770670288821e-10,-1.48699572630045e-10,2616.403016637668,2845.6303907181114
fine,3,single,0.008,28.6,0.0007235548961202328,0.00015187630783421025,-6.136451617027097e-10,-5.9479829052018e-10,2616.6039029982253,2845.630390718112
fine,4,single,-0.004,28.6,0.0007235553598883274,-7.595207606444464e-05,-1.498770670288821e-10,-1.48699572630045e-10,2616.403016637668,2845.6303907181114
fine,5,counter,0.004,28.6,0.0007235553617576378,6.858130049336123e-05,-1.4800775665832488e-10,-1.4683215076497336e-10,2616.4085155312077,2845.63039071811
fine,6,counter,-0.004,28.6,0.0007235553617576378,-6.858130049336123e-05,-1.4800775665832488e-10,-1.4683215076497336e-10,2616.4085155312077,2845.63039071811
fine,0,single,0,28.7,0.0007514158405385156,0.0,0.0,-0.0,2616.3360545172914,2845.6303907178994
fine,1,single,0.002,28.7,0.0007514157719457538,3.801156606343663e-05,-6.85927617873408e-11,-6.850839445446905e-11,2616.352795047338,2845.6303907179
fine,2,single,0.004,28.7,0.0007514155651554063,7.601929611539741e-05,-2.753831093282172e-10,-2.740335778178762e-10,2616.4030166374773,2845.6303907179017
fine,3,single,0.008,28.7,0.0007514147228045266,0.00015200790285804463,-1.1177339890233381e-09,-1.0961343112715048e-09,2616.6039029980357,2845.630390717902
fine,4,single,-0.004,28.7,0.0007514155651554063,-7.601929611539741e-05,-2.753831093282172e-10,-2.740335778178762e-10,2616.4030166374773,2845.6303907179017
fine,5,counter,0.004,28.7,0.0007514155696522226,6.873016505859037e-05,-2.708862929974576e-10,-2.6953958035007216e-10,2616.408515531018,2845.6303907178994
fine,6,counter,-0.004,28.7,0.0007514155696522226,-6.873016505859037e-05,-2.708862929974576e-10,-2.6953958035007216e-10,2616.408515531018,2845.6303907178994
fine,0,single,0,28.8,0.0007779962286672942,0.0,0.0,-0.0,2616.336054517102,2845.630390717689
fine,1,single,0.002,28.8,0.0007779961313962667,3.801530949144499e-05,-9.72710274957031e-11,-9.717647608356157e-11,2616.352795047149,2845.6303907176894
fine,2,single,0.004,28.8,0.0007779958384482388,7.60263785105112e-05,-3.9021905541905544e-10,-3.8870590433424627e-10,2616.403016637289,2845.630390717691
