sample,lambda,resolution,event,N_error,memory_norm_error,J_error,H_error,memory_change
3,0.1,base,6,2.3432367157738554e-12,1.297628671181883e-12,2.574711159472862e-12,7.037148641586555e-12,0.319600710059304
3,0.1,base,7,4.106714968088454e-13,5.773159728050814e-14,3.3949456854634157e-13,1.306371677500806e-12,0.03266371049907668
3,0.1,base,8,4.432773313768344e-13,1.3766765505351653e-13,3.151089015869914e-13,1.146832628862171e-12,0.1600023823152577
3,0.1,base,9,2.7269297930843095e-12,1.5102363803976004e-12,3.2083555492640558e-12,8.722134126060155e-12,0.24830425262610756
3,0.1,base,10,1.229047098284623e-10,6.03010974487006e-11,1.0171882223553199e-10,3.0746166297937754e-10,0.32401797202043536
3,0.1,base,11,3.462785613805863e-13,4.618527782440649e-14,2.8516362330704703e-13,1.1013967515793865e-12,0.03266371049907281
3,0.1,fine,0,2.4739099657722363e-12,1.6815437930972617e-12,2.694950758221223e-12,4.756750549006483e-12,0.7092252826925326
3,0.1,fine,1,7.708578220189111e-11,3.770816991988113e-11,6.987726829818483e-11,1.7189948368462939e-10,0.17893908393485825
3,0.1,fine,2,5.964591013918304e-13,2.925437669887287e-13,4.666307668011677e-13,1.0583756093751617e-12,0.4027608089840138
3,0.1,fine,3,2.2004620348070603e-13,3.0864200084579346e-14,1.8232464612582378e-13,7.004397062360113e-13,0.03266371049908054
3,0.1,fine,4,1.7179813127654597e-11,8.054001909840736e-12,1.5022639844200004e-11,4.685624654421027e-11,0.2623145878624981
3,0.1,fine,5,2.045419110040958e-12,2.574829238710663e-12,2.5132506870306586e-12,5.689956003600485e-12,0.7429934910048605
3,0.1,fine,6,1.0093037516867298e-12,5.682121440031551e-13,1.115648204300201e-12,3.0345725932079404e-12,0.3196007100595108
3,0.1,fine,7,2.1938006966593093e-13,2.953193245502915e-14,1.805120341270767e-13,6.973865929182921e-13,0.03266371049907882
3,0.1,fine,8,1.4969866918792935e-13,5.240252676230685e-14,1.0671297639633553e-13,3.855249453010856e-13,0.16000238232020575
3,0.1,fine,9,1.3683498778505054e-12,7.746026042809717e-13,1.6226328053664557e-12,4.385269924966906e-12,0.24830425262643477
3,0.1,fine,10,6.501871847612266e-11,3.237210499662524e-11,5.406257596173568e-11,1.6307128199228565e-10,0.32401797201256455
3,0.1,fine,11,2.1793677973391823e-13,2.975397705995418e-14,1.7995327361791305e-13,6.925848783367883e-13,0.0326637104990772
