triad,order,radius,direction,group_x,group_y,group_z,cone_x,cone_y,cone_z
orthogonal,forward,0.15999999999999998,18,0.7048355791738902,-0.7048355791766657,0.08008503087908458,0.7071067811865476,-0.7071067811865476,0.0
orthogonal,forward,0.16000000000000003,19,0.6097545963923423,-0.6097545963923423,0.6097545963951179,0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,forward,0.15999999999999998,20,0.7048355791766657,0.08008503088186014,-0.7048355791766657,0.7071067811865476,0.0,-0.7071067811865476
orthogonal,forward,0.16,21,1.0000000000037756,-5.551115123125782e-12,5.551115123125782e-12,1.0,0.0,0.0
orthogonal,forward,0.15999999999999998,22,0.7048355791738902,-0.08008503088186014,0.7048355791766657,0.7071067811865476,0.0,0.7071067811865476
orthogonal,forward,0.16000000000000003,23,0.6097545963951179,0.6097545963895667,-0.6097545963951179,0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,forward,0.15999999999999998,24,0.7048355791738902,0.7048355791794413,-0.08008503087908458,0.7071067811865476,0.7071067811865476,0.0
orthogonal,forward,0.16000000000000003,25,0.5383750228071804,0.538375022809956,0.538375022809956,0.5773502691896257,0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.020000000000000004,0,-0.5728542289931693,-0.5728542289903937,-0.5728542289917815,-0.5773502691896257,-0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.019999999999999997,1,-0.7070714127376669,-0.7070714127376669,0.010000166345003336,-0.7071067811865476,-0.7071067811865476,0.0
orthogonal,reverse,0.020000000000000004,2,-0.5817436447810159,-0.581743644780669,0.5817436447810159,-0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.019999999999999997,3,-0.7070714127380139,0.010000166346391115,-0.7070714127380139,-0.7071067811865476,0.0,-0.7071067811865476
orthogonal,reverse,0.02,4,-1.0000000000003062,0.0,0.0,-1.0,0.0,0.0
orthogonal,reverse,0.019999999999999997,5,-0.7070714127383608,-0.010000166346391115,0.7070714127383608,-0.7071067811865476,0.0,0.7071067811865476
orthogonal,reverse,0.020000000000000004,6,-0.5817436447810159,0.581743644780669,-0.5817436447810159,-0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.019999999999999997,7,-0.7070714127380139,0.7070714127380139,-0.010000166345350281,-0.7071067811865476,0.7071067811865476,0.0
orthogonal,reverse,0.020000000000000004,8,-0.5728542289942101,0.5728542289931693,0.5728542289914346,-0.5773502691896257,0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.019999999999999997,9,0.010000166345350281,-0.7070714127383608,-0.7070714127383608,0.0,-0.7071067811865476,-0.7071067811865476
orthogonal,reverse,0.02,10,0.0,-1.0000000000003062,0.0,0.0,-1.0,0.0
orthogonal,reverse,0.019999999999999997,11,-0.010000166345350281,-0.7070714127383608,0.7070714127383608,0.0,-0.7071067811865476,0.7071067811865476
orthogonal,reverse,0.02,12,0.0,0.0,-0.9999999999999591,0.0,0.0,-1.0
orthogonal,reverse,0.02,13,0.0,0.0,1.0000000000003062,0.0,0.0,1.0
orthogonal,reverse,0.019999999999999997,14,-0.010000166345350281,0.7070714127383608,-0.7070714127383608,0.0,0.7071067811865476,-0.7071067811865476
orthogonal,reverse,0.02,15,0.0,1.0000000000003062,0.0,0.0,1.0,0.0
orthogonal,reverse,0.019999999999999997,16,0.010000166345350281,0.7070714127383608,0.7070714127383608,0.0,0.7071067811865476,0.7071067811865476
orthogonal,reverse,0.020000000000000004,17,0.5817436447810159,-0.581743644780669,-0.5817436447810159,0.5773502691896257,-0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.019999999999999997,18,0.7070714127380139,-0.7070714127380139,-0.010000166345350281,0.7071067811865476,-0.7071067811865476,0.0
orthogonal,reverse,0.020000000000000004,19,0.5728542289942101,-0.5728542289931693,0.5728542289914346,0.5773502691896257,-0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.019999999999999997,20,0.7070714127380139,-0.010000166346391115,-0.7070714127380139,0.7071067811865476,0.0,-0.7071067811865476
orthogonal,reverse,0.02,21,1.0000000000003062,0.0,0.0,1.0,0.0,0.0
orthogonal,reverse,0.019999999999999997,22,0.7070714127383608,0.010000166346391115,0.7070714127383608,0.7071067811865476,0.0,0.7071067811865476
orthogonal,reverse,0.020000000000000004,23,0.5728542289931693,0.5728542289903937,-0.5728542289917815,0.5773502691896257,0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.019999999999999997,24,0.7070714127376669,0.7070714127376669,0.010000166345003336,0.7071067811865476,0.7071067811865476,0.0
orthogonal,reverse,0.020000000000000004,25,0.5817436447810159,0.581743644780669,0.5817436447810159,0.5773502691896257,0.5773502691896257,0.5773502691896257
orthogonal,reverse,0.04000000000000001,0,-0.5682539867220282,-0.5682539867192526,-0.5682539867220282,-0.5773502691896257,-0.5773502691896257,-0.5773502691896257
orthogonal,reverse,0.039999999999999994,1,-0.7069653240682204,-0.706965324064751,0.02000133288507233,-0.7071067811865476,-0.7071067811865476,0.0
orthogonal,reverse,0.04000000000000001,2,-0.5860359773790513,-0.5860359773825208,0.586035977381133,-0.5773502691896257,-0.5773502691896257,0.5773502691896257
