triad,order,radius,direction,qx,qy,qz,phase,continuum,cone_error
orthogonal,forward,0.08000000000000002,19,0.04618802153517007,-0.04618802153517007,0.04618802153517007,0.08119433633354418,0.08000000000000002,0.03008128947573289
orthogonal,forward,0.07999999999999999,20,0.056568542494923796,0.0,-0.056568542494923796,0.07997865471681645,0.07999999999999999,0.0005335608887893153
orthogonal,forward,0.08,21,0.08,0.0,0.0,0.08000000000000007,0.08,1.7618285302889447e-15
orthogonal,forward,0.07999999999999999,22,0.056568542494923796,0.0,0.056568542494923796,0.07997865471681645,0.07999999999999999,0.0005335608887893153
orthogonal,forward,0.08000000000000002,23,0.04618802153517007,0.04618802153517007,-0.04618802153517007,0.08119433633354428,0.08000000000000002,0.030081289475735334
orthogonal,forward,0.07999999999999999,24,0.056568542494923796,0.056568542494923796,0.0,0.07997865471681638,0.07999999999999999,0.0005335608887910772
orthogonal,forward,0.08000000000000002,25,0.04618802153517007,0.04618802153517007,0.04618802153517007,0.07872980825591983,0.08000000000000002,0.031502701872828325
orthogonal,forward,0.16000000000000003,0,-0.09237604307034014,-0.09237604307034014,-0.09237604307034014,0.1646325738199016,0.16000000000000003,0.058745482912708404
orthogonal,forward,0.15999999999999998,1,-0.11313708498984759,-0.11313708498984759,0.0,0.1598289506333047,0.15999999999999998,0.0021369741975248912
orthogonal,forward,0.16000000000000003,2,-0.09237604307034014,-0.09237604307034014,0.09237604307034014,0.15476050106180678,0.16000000000000003,0.06442137933978571
orthogonal,forward,0.15999999999999998,3,-0.11313708498984759,0.0,-0.11313708498984759,0.15982895063330455,0.15999999999999998,0.0021369741975269243
orthogonal,forward,0.16,4,-0.16,0.0,0.0,0.16000000000000003,0.16,4.0657581468206416e-16
orthogonal,forward,0.15999999999999998,5,-0.11313708498984759,0.0,0.11313708498984759,0.15982895063330468,0.15999999999999998,0.0021369741975251623
orthogonal,forward,0.16000000000000003,6,-0.09237604307034014,0.09237604307034014,-0.09237604307034014,0.15476050106180678,0.16000000000000003,0.06442137933978571
orthogonal,forward,0.15999999999999998,7,-0.11313708498984759,0.11313708498984759,0.0,0.15982895063330468,0.15999999999999998,0.0021369741975251623
orthogonal,forward,0.16000000000000003,8,-0.09237604307034014,0.09237604307034014,0.09237604307034014,0.1646325738199015,0.16000000000000003,0.05874548291270732
orthogonal,forward,0.15999999999999998,9,0.0,-0.11313708498984759,-0.11313708498984759,0.15982895063330463,0.15999999999999998,0.00213697419752584
orthogonal,forward,0.16,10,0.0,-0.16,0.0,0.16000000000000006,0.16,6.776263578034403e-16
orthogonal,forward,0.15999999999999998,11,0.0,-0.11313708498984759,0.11313708498984759,0.15982895063330463,0.15999999999999998,0.00213697419752584
orthogonal,forward,0.16,12,0.0,0.0,-0.16,0.16000000000000003,0.16,4.0657581468206416e-16
orthogonal,forward,0.16,13,0.0,0.0,0.16,0.16,0.16,0.0
orthogonal,forward,0.15999999999999998,14,0.0,0.11313708498984759,-0.11313708498984759,0.1598289506333046,0.15999999999999998,0.0021369741975262465
orthogonal,forward,0.16,15,0.0,0.16,0.0,0.1600000000000001,0.16,1.0842021724855044e-15
orthogonal,forward,0.15999999999999998,16,0.0,0.11313708498984759,0.11313708498984759,0.1598289506333046,0.15999999999999998,0.0021369741975262465
orthogonal,forward,0.16000000000000003,17,0.09237604307034014,-0.09237604307034014,-0.09237604307034014,0.15476050106180678,0.16000000000000003,0.06442137933978571
orthogonal,forward,0.15999999999999998,18,0.11313708498984759,-0.11313708498984759,0.0,0.1598289506333047,0.15999999999999998,0.0021369741975248912
orthogonal,forward,0.16000000000000003,19,0.09237604307034014,-0.09237604307034014,0.09237604307034014,0.16463257381990162,0.16000000000000003,0.05874548291270881
orthogonal,forward,0.15999999999999998,20,0.11313708498984759,0.0,-0.11313708498984759,0.15982895063330455,0.15999999999999998,0.0021369741975269243
orthogonal,forward,0.16,21,0.16,0.0,0.0,0.16000000000000006,0.16,6.776263578034403e-16
orthogonal,forward,0.15999999999999998,22,0.11313708498984759,0.0,0.11313708498984759,0.15982895063330468,0.15999999999999998,0.0021369741975251623
orthogonal,forward,0.16000000000000003,23,0.09237604307034014,0.09237604307034014,-0.09237604307034014,0.16463257381990154,0.16000000000000003,0.05874548291270773
orthogonal,forward,0.15999999999999998,24,0.11313708498984759,0.11313708498984759,0.0,0.15982895063330468,0.15999999999999998,0.0021369741975251623
orthogonal,forward,0.16000000000000003,25,0.09237604307034014,0.09237604307034014,0.09237604307034014,0.15476050106180678,0.16000000000000003,0.06442137933978571
orthogonal,reverse,0.020000000000000004,0,-0.011547005383792518,-0.011547005383792518,-0.011547005383792518,0.01992242508897903,0.020000000000000004,0.007742446435047707
orthogonal,reverse,0.019999999999999997,1,-0.014142135623730949,-0.014142135623730949,0.0,0.019999666654999748,0.019999999999999997,3.3334222227535096e-05
orthogonal,reverse,0.020000000000000004,2,-0.011547005383792518,-0.011547005383792518,0.011547005383792518,0.020076389722326372,0.020000000000000004,0.007653560706829585
orthogonal,reverse,0.019999999999999997,3,-0.014142135623730949,0.0,-0.014142135623730949,0.019999666654999824,0.019999999999999997,3.333422221994568e-05
orthogonal,reverse,0.02,4,-0.02,0.0,0.0,0.02000000000000003,0.02,3.1170812458958252e-15
orthogonal,reverse,0.019999999999999997,5,-0.014142135623730949,0.0,0.014142135623730949,0.019999666654999828,0.019999999999999997,3.333422221967463e-05
orthogonal,reverse,0.020000000000000004,6,-0.011547005383792518,0.011547005383792518,-0.011547005383792518,0.020076389722326483,0.020000000000000004,0.007653560706840698
