sample,direction,field,branch,omega,null_polynomial,z
1,2,5,1,0.9073716027953045,-5.551115123125783e-16,1.1001848987915417
1,3,0,0,-1.048931697048837,4.38476080070543e-17,1.1001848987915417
1,3,0,1,1.2643166641155974,-3.3992943801001636e-16,1.1001848987915417
1,3,1,0,-1.048931697048837,4.38476080070543e-17,1.1001848987915417
1,3,1,1,1.2643166641155974,-3.3992943801001636e-16,1.1001848987915417
1,3,2,0,-1.048931697048837,4.38476080070543e-17,1.1001848987915417
1,3,2,1,1.2643166641155974,-3.3992943801001636e-16,1.1001848987915417
1,3,3,0,-1.048931697048837,4.38476080070543e-17,1.1001848987915417
1,3,3,1,1.2643166641155974,-3.3992943801001636e-16,1.1001848987915417
1,3,4,0,-1.048931697048837,4.38476080070543e-17,1.1001848987915417
1,3,4,1,1.2643166641155974,-3.3992943801001636e-16,1.1001848987915417
1,3,5,0,-1.048931697048837,4.38476080070543e-17,1.1001848987915417
1,3,5,1,1.2643166641155974,-3.3992943801001636e-16,1.1001848987915417
1,4,0,0,-0.7883829899443884,1.7996088832680958e-16,1.1001848987915417
1,4,0,1,1.0556596479535176,4.641237585854489e-16,1.1001848987915417
1,4,1,0,-0.7883829899443884,1.7996088832680958e-16,1.1001848987915417
1,4,1,1,1.0556596479535176,4.641237585854489e-16,1.1001848987915417
1,4,2,0,-0.7883829899443884,1.7996088832680958e-16,1.1001848987915417
1,4,2,1,1.0556596479535176,4.641237585854489e-16,1.1001848987915417
1,4,3,0,-0.7883829899443884,1.7996088832680958e-16,1.1001848987915417
1,4,3,1,1.0556596479535176,4.641237585854489e-16,1.1001848987915417
1,4,4,0,-0.7883829899443884,1.7996088832680958e-16,1.1001848987915417
1,4,4,1,1.0556596479535176,4.641237585854489e-16,1.1001848987915417
1,4,5,0,-0.7883829899443884,1.7996088832680958e-16,1.1001848987915417
1,4,5,1,1.0556596479535176,4.641237585854489e-16,1.1001848987915417
1,5,0,0,-1.0206196536972936,-2.414604550806104e-16,1.1001848987915417
1,5,0,1,0.813353452900319,1.2779983414604457e-17,1.1001848987915417
1,5,1,0,-1.0206196536972936,-2.414604550806104e-16,1.1001848987915417
1,5,1,1,0.813353452900319,1.2779983414604457e-17,1.1001848987915417
1,5,2,0,-1.0206196536972936,-2.414604550806104e-16,1.1001848987915417
1,5,2,1,0.813353452900319,1.2779983414604457e-17,1.1001848987915417
1,5,3,0,-1.0206196536972936,-2.414604550806104e-16,1.1001848987915417
1,5,3,1,0.813353452900319,1.2779983414604457e-17,1.1001848987915417
1,5,4,0,-1.0206196536972936,-2.414604550806104e-16,1.1001848987915417
1,5,4,1,0.813353452900319,1.2779983414604457e-17,1.1001848987915417
1,5,5,0,-1.0206196536972936,-2.414604550806104e-16,1.1001848987915417
1,5,5,1,0.813353452900319,1.2779983414604457e-17,1.1001848987915417
1,6,0,0,-0.8650686208718448,-4.6853333705896e-16,1.1001848987915417
1,6,0,1,1.2593355279831817,-3.5172422279898e-16,1.1001848987915417
1,6,1,0,-0.8650686208718448,-4.6853333705896e-16,1.1001848987915417
1,6,1,1,1.2593355279831817,-3.5172422279898e-16,1.1001848987915417
1,6,2,0,-0.8650686208718448,-4.6853333705896e-16,1.1001848987915417
1,6,2,1,1.2593355279831817,-3.5172422279898e-16,1.1001848987915417
1,6,3,0,-0.8650686208718448,-4.6853333705896e-16,1.1001848987915417
1,6,3,1,1.2593355279831817,-3.5172422279898e-16,1.1001848987915417
1,6,4,0,-0.8650686208718448,-4.6853333705896e-16,1.1001848987915417
1,6,4,1,1.2593355279831817,-3.5172422279898e-16,1.1001848987915417
1,6,5,0,-0.8650686208718448,-4.6853333705896e-16,1.1001848987915417
1,6,5,1,1.2593355279831817,-3.5172422279898e-16,1.1001848987915417
1,7,0,0,-0.9284860148922167,-2.1337098754514727e-16,1.1001848987915417
1,7,0,1,0.8377115596411789,-2.220446049250313e-16,1.1001848987915417
