case,time,source_a,inverse_a
finest-broad,10.3,0.0,0.0
finest-broad,10.325000000000001,0.0,0.0
finest-broad,10.35,0.0,0.0
finest-broad,10.375,0.0,0.0
finest-broad,10.4,0.0,0.0
finest-broad,10.425,0.0,0.0
finest-broad,10.450000000000001,0.0,0.0
finest-broad,10.475,0.0,0.0
finest-broad,10.5,0.0,0.0
finest-broad,10.525,0.0,0.0
finest-broad,10.55,0.0,0.0
finest-broad,10.575000000000001,0.0,0.0
finest-broad,10.6,0.0,0.0
finest-broad,10.625,0.0,0.0
finest-broad,10.65,0.0,0.0
finest-broad,10.675,0.0,0.0
finest-broad,10.700000000000001,0.0,0.0
finest-broad,10.725,0.0,0.0
finest-broad,10.75,0.0,0.0
finest-broad,10.775,0.0,0.0
finest-broad,10.8,0.0,0.0
finest-broad,10.825000000000001,0.0,0.0
finest-broad,10.85,0.0,0.0
finest-broad,10.875,0.0,0.0
finest-broad,10.9,0.0,0.0
finest-broad,10.925,0.0,0.0
finest-broad,10.950000000000001,0.0,0.0
finest-broad,10.975,0.0,0.0
finest-broad,11.0,0.0,0.0
finest-broad,11.025,0.0,0.0
finest-broad,11.05,0.0,0.0
finest-broad,11.075000000000001,0.0,0.0
finest-broad,11.1,0.0,0.0
finest-broad,11.125,0.0,0.0
finest-broad,11.15,0.0,0.0
finest-broad,11.175,0.0,0.0
finest-broad,11.200000000000001,0.0,0.0
finest-broad,11.225,0.0,0.0
finest-broad,11.25,0.0,0.0
finest-broad,11.275,0.0,0.0
finest-broad,11.3,0.0,0.0
finest-broad,11.325000000000001,0.0,0.0
finest-broad,11.35,0.0,0.0
finest-broad,11.375,0.0,0.0
finest-broad,11.4,0.0,0.0
finest-broad,11.425,0.0,0.0
finest-broad,11.450000000000001,0.0,0.0
finest-broad,11.475,0.0,1.8e-322
finest-broad,11.5,0.0,2.1615e-320
finest-broad,11.525,0.0,2.539354e-318
finest-broad,11.55,0.0,2.93064707e-316
finest-broad,11.575000000000001,0.0,3.3228962505e-314
finest-broad,11.6,0.0,3.70172988618e-312
finest-broad,11.625,0.0,4.0518087672433e-310
finest-broad,11.65,0.0,4.3578353151141807e-308
finest-broad,11.675,0.0,4.605656429796054e-306
finest-broad,11.700000000000001,0.0,4.783349372768323e-304
finest-broad,11.725,0.0,4.882174574829147e-302
finest-broad,11.75,0.0,4.897289118322459e-300
finest-broad,11.775,0.0,4.828139685214017e-298
finest-broad,11.8,0.0,4.678490638463978e-296
finest-broad,11.825000000000001,0.0,4.4560861652150165e-294
finest-broad,11.85,0.0,4.171988491881673e-292
finest-broad,11.875,0.0,3.839670614609408e-290
finest-broad,11.9,0.0,3.473966578286768e-288
finest-broad,11.925,0.0,3.089992052958954e-286
finest-broad,11.950000000000001,0.0,2.702142361394266e-284
finest-broad,11.975,0.0,2.323256263256707e-282
finest-broad,12.0,0.0,1.9640056820689885e-280
finest-broad,12.025,0.0,1.6325391955840025e-278
finest-broad,12.05,3e-323,1.3343755820110051e-276
finest-broad,12.075000000000001,3.814e-321,1.0725172922102128e-274
finest-broad,12.1,4.2878e-319,8.47735250283498e-273
finest-broad,12.125,4.7386716e-317,6.589670473785486e-271
finest-broad,12.15,5.149835236e-315,5.037699791383148e-269
finest-broad,12.175,5.50383444303e-313,3.7877685566600543e-267
finest-broad,12.200000000000001,5.784850441526e-311,2.801137375944622e-265
finest-broad,12.225,5.979886302803213e-309,2.0375218966135004e-263
finest-broad,12.25,6.079765606243404e-307,1.4578202090996195e-261
finest-broad,12.275,6.079849024846103e-305,1.0260208368237805e-259
finest-broad,12.3,5.980390812300243e-303,7.103550620286362e-258
finest-broad,12.325000000000001,5.78649714324497e-301,4.8381378761130397e-256
finest-broad,12.35,5.507693393754222e-299,3.241758567837933e-254
finest-broad,12.375,5.157151217950509e-297,2.136971795338826e-252
finest-broad,12.4,4.7506624319090295e-295,1.3859528857250608e-250
finest-broad,12.425,4.305470392372684e-293,8.843931779043779e-249
finest-broad,12.450000000000001,3.839078057163552e-291,5.5527108024078574e-247
finest-broad,12.475,3.368145051774445e-289,3.4303846821565445e-245
finest-broad,12.5,2.9075660313639417e-287,2.0853255550892668e-243
finest-broad,12.525,2.4697934182295092e-285,1.2474213757385107e-241
finest-broad,12.55,2.0644341801386882e-283,7.343035167435189e-240
finest-broad,12.575000000000001,1.6981177061107655e-281,4.2537876907509715e-238
finest-broad,12.6,1.3746042648453103e-279,2.4250923716740627e-236
finest-broad,12.625,1.0950838731164799e-277,1.3606529382771968e-234
finest-broad,12.65,8.58604924422108e-276,7.513585063342146e-233
finest-broad,12.675,6.62570356902201e-274,4.0835869944669667e-231
finest-broad,12.700000000000001,5.032449766123436e-272,2.1844645738084878e-229
finest-broad,12.725,3.762285466517172e-270,1.150192290190243e-227
finest-broad,12.75,2.7686290246425453e-268,5.961171922224932e-226
finest-broad,12.775,2.0055534423433522e-266,3.0411785755587977e-224
finest-broad,12.8,1.4301307037081945e-264,1.5272651554274047e-222
finest-broad,12.825000000000001,1.0039328396134045e-262,7.550265291527993e-221
finest-broad,12.85,6.938031968012086e-261,3.674498403874542e-219
finest-broad,12.875,4.7204755804843256e-259,1.760494488507351e-217
finest-broad,12.9,3.162044690308568e-257,8.303946441120199e-216
finest-broad,12.925,2.0854407668248245e-255,3.856204131146953e-214
finest-broad,12.950000000000001,1.3542223895509366e-253,1.7630851116985466e-212
finest-broad,12.975,8.65882407719528e-252,7.936633815561124e-211
finest-broad,13.0,5.451537580879647e-250,3.5177183410608226e-209
finest-broad,13.025,3.379749382741721e-248,1.5351793763582376e-207
finest-broad,13.05,2.063333624812909e-246,6.596932824875084e-206
finest-broad,13.075000000000001,1.2404744313015422e-244,2.791394565734478e-204
finest-broad,13.1,7.344350039314322e-243,1.1630752857008486e-202
finest-broad,13.125,4.2823262223626655e-241,4.772136902954314e-201
finest-broad,13.15,2.459124149571258e-239,1.9281787922403867e-199
finest-broad,13.175,1.3908133112581395e-237,7.672232582218614e-198
finest-broad,13.200000000000001,7.747437957629176e-236,3.0064003608466403e-196
finest-broad,13.225,4.250708503154778e-234,1.1601999695121307e-194
finest-broad,13.25,2.297160866445622e-232,4.409507483211498e-193
finest-broad,13.275,1.2228160791922493e-230,1.65054957685385e-191
finest-broad,13.3,6.411847041025161e-229,6.084966768659768e-190
finest-broad,13.325000000000001,3.3118445195219355e-227,2.2094731278292846e-188
finest-broad,13.35,1.6851317096233297e-225,7.901866301508737e-187
finest-broad,13.375,8.446700508709029e-224,2.7834951600898746e-185
finest-broad,13.4,4.171014912872945e-222,9.657847402381092e-184
finest-broad,13.425,2.0291292820628425e-220,3.3007174823817294e-182
finest-broad,13.450000000000001,9.725295558211123e-219,1.1111774485443153e-180
finest-broad,13.475,4.5923254690517476e-217,3.6848030051314834e-179
finest-broad,13.5,2.1365387670937535e-215,1.2036757066525236e-177
finest-broad,13.525,9.79373900978316e-214,3.8732674677433435e-176
finest-broad,13.55,4.4234093609295655e-212,1.2277967907814151e-174
finest-broad,13.575000000000001,1.968555583721986e-210,3.834110157054616e-173
finest-broad,13.6,8.632391346432079e-209,1.179504688704353e-171
finest-broad,13.625,3.7300809421503474e-207,3.5746990720737954e-170
finest-broad,13.65,1.5882532613007695e-205,1.067312518939992e-168
finest-broad,13.675,6.664171251479186e-204,3.139521193999119e-167
finest-broad,13.700000000000001,2.75554701131487e-202,9.098340055254006e-166
finest-broad,13.725,1.1228326552374191e-200,2.5977353224459988e-164
finest-broad,13.75,4.5089756571019775e-199,7.307494751702932e-163
finest-broad,13.775,1.7844581452849367e-197,2.0253016585769386e-161
finest-broad,13.8,6.960016917157382e-196,5.5305084725407596e-160
finest-broad,13.825000000000001,2.67546561775584e-194,1.4879930852650517e-158
finest-broad,13.85,1.0136386462973379e-192,3.944604512941539e-157
finest-broad,13.875,3.785045212898042e-191,1.0303356934533746e-155
finest-broad,13.9,1.393068230031179e-189,2.6517500832906008e-154
finest-broad,13.925,5.0535463128078925e-188,6.724665286696306e-153
finest-broad,13.950000000000001,1.8069729864479607e-186,1.6803450808211537e-151
finest-broad,13.975,6.368651446248887e-185,4.1373410313694855e-150
finest-broad,14.0,2.2125466490680824e-183,1.003793378865118e-148
finest-broad,14.025,7.576962025683679e-182,2.399785622590016e-147
finest-broad,14.05,2.557784491439974e-180,5.6534095449320495e-146
finest-broad,14.075000000000001,8.511522651628282e-179,1.3123899970906516e-144
finest-broad,14.1,2.7921143787063607e-177,3.002162778749342e-143
finest-broad,14.125,9.02921124094683e-176,6.767505747720121e-142
finest-broad,14.15,2.878491627498488e-174,1.5033154707425903e-140
finest-broad,14.175,9.04662153030513e-173,3.2908080565367636e-139
finest-broad,14.200000000000001,2.8029914443226973e-171,7.0988753910727e-138
finest-broad,14.225,8.562064314237308e-170,1.5090880586562085e-136
finest-broad,14.25,2.5784807015830945e-168,3.161410561282315e-135
finest-broad,14.275,7.655704327692705e-167,6.526668705702591e-134
finest-broad,14.3,2.2410385406841527e-165,1.3278513374738104e-132
finest-broad,14.325000000000001,6.467900083802533e-164,2.662301450881808e-131
finest-broad,14.35,1.8404915884180122e-162,5.2603828918713496e-130
finest-broad,14.375,5.163777734035556e-161,1.024311631220405e-128
finest-broad,14.4,1.4284691998099662e-159,1.965637969452557e-127
finest-broad,14.425,3.896280195538429e-158,3.717350372258189e-126
finest-broad,14.450000000000001,1.0478801666683057e-156,6.928251470992495e-125
finest-broad,14.475,2.778825228939468e-155,1.2725516144471331e-123
