time,pulse,a,a_t,a_r,incoming,outgoing
13.18,1,0.8320025408408075,-1.2366790506907288,-1.2923465833272438,-17.287178167705406,-0.026328541964799612
13.200000000000001,0,-0.011683182478594881,-0.001624887694852812,0.0024403746477656423,-0.0001331825689076284,-0.022615245159031738
13.200000000000001,1,0.8073565438320499,-1.227763064044943,-1.281740985239344,-17.162850073073983,-0.0258328235552181
13.22,0,-0.01171540465546271,-0.00159706695082344,0.002413176093934852,-0.00014493832595147138,-0.02221399898557669
13.22,1,0.7828982428171182,-1.2179134637887583,-1.2702174792979242,-17.025467480198216,-0.02532101284439925
13.24,0,-0.011747054224380327,-0.0015676156451021619,0.00238629361037957,-0.00014278135524830454,-0.021803837676181957
13.24,1,0.7586460666034368,-1.2071547337187447,-1.257802000882577,-16.875374108907533,-0.024792163154891966
13.26,0,-0.01177809828683074,-0.0015365252829517254,0.002359689806891861,-0.0001268974758344213,-0.021384456485489735
13.26,1,0.7346179459885824,-1.195512197444938,-1.2445213535856556,-16.712925884219864,-0.0242448800092685
13.280000000000001,0,-0.011808505002480112,-0.0015039099271718151,0.0023332416757000187,-9.893026154263185e-05,-0.02095580871886278
13.280000000000001,1,0.7108312965239244,-1.1830120645235989,-1.2304032237588285,-16.53849136971503,-0.023677533615355628
13.3,0,-0.011838245986092729,-0.001469998761458084,0.002306754984119631,-6.182943441553415e-05,-0.02051815322599764
13.3,1,0.6873030002548571,-1.1696814852300368,-1.2154762003226496,-16.352452298741376,-0.023088494479139854
13.32,0,-0.011867298434771054,-0.001435116646689221,0.002279986589154699,-1.95596201271811e-05,-0.020072073433521912
13.32,1,0.6640493863537497,-1.1555486049996684,-1.1997697937573795,-16.15520409812246,-0.02247637187289797
13.34,0,-0.011895646754599401,-0.0013996538007796297,0.0022526721659531417,2.330517891488415e-05,-0.0196184583898297
13.34,1,0.6410862107433933,-1.1406426094743862,-1.1833144481688607,-15.94715629813103,-0.021840234510376533
13.36,0,-0.011923283491036616,-0.001364026993776573,0.0022245562377015936,6.206296195683525e-05,-0.019158440874828857
13.36,1,0.6184286349843096,-1.1249937517857338,-1.1661415408299525,-15.728732730817647,-0.021179794182623723
13.38,0,-0.011950209427138666,-0.0013286358090999224,0.0021954211348163867,9.239256644591812e-05,-0.01869329389384483
13.38,1,0.5960912048535408,-1.1086333551304945,-1.1482833645933372,-15.500371435640051,-0.020495536186871277
13.4,0,-0.011976432794216596,-0.001293818414350584,0.002165111627061692,0.00011083609186945953,-0.018224293892777636
13.4,1,0.5740878291619611,-1.0915937857289448,-1.1297730899709069,-15.262524215317981,-0.01978878488724689
13.42,0,-0.012001967633916175,-0.001259811754742147,0.002133552453069371,0.00011520107133248039,-0.01775256563772254
13.42,1,0.5524317594311718,-1.0739083937282299,-1.1106447053583677,-15.015655813890596,-0.0190616983046219
13.44,0,-0.012026831449194591,-0.0012267210079826246,0.002100756766464322,0.00010483458477458796,-0.01727892869653133
13.44,1,0.5311355710730042,-1.0556114223108781,-1.090932935706101,-14.760242720582351,-0.018317191769941843
13.46,0,-0.012051042372661717,-0.001194502460236908,0.0020668245395841878,8.073336910010068e-05,-0.01680376781241681
13.46,1,0.5102111466823412,-1.0367378879580422,-1.0706731417409212,-14.496771634551575,-0.017558796861018244
13.48,0,-0.012074616152179368,-0.0011629626954374104,0.0020319311013246187,4.547076512077461e-05,-0.01632694850124452
13.48,1,0.48966966196991507,-1.0173234372642876,-1.0499012034713535,-14.22573765416453,-0.016790467535495956
13.5,0,-0.012097563294591886,-0.001131775237128176,0.0019963071074934257,2.9414452608032826e-06,-0.015847794765055268
13.5,1,0.4695215747329858,-0.9974041876908721,-1.0286533930192936,-13.947642277604668,-0.01601635006754254
13.52,0,-0.012119886710990959,-0.0011005137263123748,0.001960212222783961,-4.205388019437768e-05,-0.01536513828817887
13.52,1,0.44977661709932837,-0.9770165610011922,-1.0069662426984831,-13.662991317348062,-0.015240536668627236
13.540000000000001,0,-0.012141580167318979,-0.001068698605908315,0.0019239055201150737,-8.434168421217816e-05,-0.014877438798504231
13.540000000000001,1,0.43044379109775344,-0.9561971187235878,-0.9848764146276804,-13.37229283791,-0.014466824220228602
13.56,0,-0.012162627764003139,-0.0010358523904916114,0.001887615990243743,-0.00011896868373664771,-0.01438296478314591
13.56,1,0.41153136742222995,-0.9349824087768245,-0.962420577990776,-13.076055223662088,-0.01369849921345434
13.58,0,-0.012183004554878757,-0.00100155720202585,0.0018515165546567232,-0.0001417868090232647,-0.013880014019338634
13.58,1,0.39304688708277113,-0.9134088313873132,-0.9396352993521482,-12.774785471634843,-0.01293816778754131
13.6,0,-0.012202678281168538,-0.0009655075759003485,0.0018157045841157577,-0.00014996008307640273,-0.013367145979528476
13.6,1,0.3749971654897655,-0.8915125307100912,-0.9165569502646912,-12.468987784078593,-0.012187645862682395
13.620000000000001,0,-0.012221612056782783,-0.000927551732176163,0.0017801911852535165,-0.00014232985684991574,-0.012843394393616366
13.620000000000001,1,0.3573882984122099,-0.8693293162868772,-0.893221634873126,-12.159162508913916,-0.011447919102363535
13.64,0,-0.01223976771458575,-0.0008877156000704517,0.0017449005106874652,-0.0001195894829737823,-0.012308428918012544
13.64,1,0.34022566919362823,-0.8468946158341801,-0.8696651384520081,-11.845805445406503,-0.010719176272019126
13.66,0,-0.012257109426916091,-0.0008462057918785809,0.0017096791887210635,-8.424093556066818e-05,-0.011762640150739464
13.66,1,0.3235139566072804,-0.824243458085968,-0.8459228959825974,-11.529407500176317,-0.010000913027234049
13.68,0,-0.012273607161971395,-0.0008033902390764452,0.0016743147905540702,-4.033172064232121e-05,-0.011207131626427912
13.68,1,0.3072571427846788,-0.8014104817652254,-0.8220299781287596,-11.210454647865555,-0.009292096847600462
13.700000000000001,0,-0.012289239539927022,-0.0007597580241162985,0.001638561193603195,7.002416444766568e-06,-0.010643614754072946
13.700000000000001,1,0.29145852075365986,-0.778429964464251,-0.7980210904749869,-10.889428124197835,-0.008591378301677999
13.72,0,-0.012303995711359237,-0.0007158627020591455,0.0016021678843466355,5.2138420332812144e-05,-0.010074216249160849
13.72,1,0.27612070126506044,-0.7553358634817098,-0.7739305807735474,-10.56680475915427,-0.007897329589667379
13.74,0,-0.012317875990690454,-0.0006722557302986698,0.0015649097710935314,8.964029021880579e-05,-0.009501220514400183
13.74,1,0.2612456187574939,-0.7321618596529681,-0.7497924483130288,-10.243057346383232,-0.007208688758321813
13.76,0,-0.012330891126771501,-0.0006294181764595066,0.0015266140050008371,0.00011492523640356175,-0.008926779706836654
13.76,1,0.24683453649234738,-0.7089413950128286,-0.7256403494245361,-9.91865494281538,-0.006524587364220125
13.780000000000001,0,-0.012343060263274242,-0.0005876994084508544,0.0014871806484262095,0.000124838548190365,-0.008352630266502327
13.780000000000001,1,0.23288805106932256,-0.6857076957672901,-0.7015075935935192,-9.594062999991003,-0.005844740751057564
13.8,0,-0.012354407811526715,-0.000547270870084924,0.0014465947463003482,0.00011806322774461121,-0.007779855408933547
13.8,1,0.21940609669033498,-0.6624937734687846,-0.6774271256042576,-9.269743245166127,-0.005169583396856581
13.82,0,-0.01236495960518402,-0.0005081013454673085,0.0014049283664313748,9.530934415645509e-05,-0.007208728180698773
13.82,1,0.2063879496619133,-0.6393323993618292,-0.6534314905239551,-8.946153254369534,-0.004500336696074747
13.84,0,-0.012374738809336264,-0.0004699575033472939,0.001362332360407434,5.9254594752849304e-05,-0.006638659641614964
13.84,1,0.19383223370208258,-0.6162560494072713,-0.629552780009308,-8.623745689065014,-0.0038390026367842722
13.86,0,-0.01238376210108953,-0.0004324303094004415,0.001319018817746934,1.4238507880681706e-05,-0.006068262839486862
13.86,1,0.18173692663993352,-0.5932968202736273,-0.6058225602381565,-8.30296720026252,-0.0031882835682619515
13.88,0,-0.012392036616518876,-0.0003949845135728906,0.0012752362963196755,-3.4255829031944185e-05,-0.005495527360988524
13.88,1,0.170099369062406,-0.5704863193505965,-0.5822717835667167,-7.984257035889989,-0.0025514350183613033
13.9,0,-0.01239955807113952,-0.00035702531315341885,0.0012312407779862635,-8.027078173984681e-05,-0.004918083602408016
13.9,1,0.15891627537607153,-0.5478555343396356,-0.558930687624717,-7.668045416062432,-0.0019320646924660956
13.92,0,-0.01240631031753862,-0.0003179738887729839,0.0011872658143702553,-0.00011811167958841046,-0.004333522763233365
13.92,1,0.1481837476195775,-0.5254346899794772,-0.5358286868389065,-7.354751763918896,-0.0013338957937834017
13.94,0,-0.012412266422248063,-0.0002773421547992354,0.0011434954296083721,-0.00014306028746007525,-0.0037397298797292207
13.94,1,0.13789729219680288,-0.5032531007849333,-0.512994262202378,-7.044782894812778,-0.0007605161762889168
