sample,condition_coframe,z,hessian_error,equation_error,lapse,shift_x
128,1.4231495297032912,1.0936015241525898,5.675485233399717e-16,1.1102230246251565e-16,1.1596508200293665,-0.07865254941751201
129,1.408377132825446,1.0462907301221664,2.56582068780332e-16,2.6007270746652783e-17,1.1793008345266485,-0.03266289070510083
130,1.4461639912187239,1.1137357768156122,3.1099107883788335e-16,1.5539240807120835e-16,1.0981614874754477,0.025915270670022448
131,1.3214399096607305,1.0991804334043271,3.906241162118244e-16,1.1102230246251565e-16,1.1743443169215553,-0.06345711298996931
132,1.4008589133007896,1.0670028356285062,2.200134983650426e-16,1.7241984640587054e-16,0.8085504990198926,-0.09358562773287825
133,1.4771286237195504,1.0217163659992081,3.5188003225430932e-16,0.0,0.8997614375347825,-0.17741504414447623
134,1.3576289356214573,1.0387308310596681,4.34575399428027e-16,2.13476910776075e-16,1.0738866859835292,0.13007325164506162
135,1.5417888325819746,1.1278002588371447,3.380773508021313e-16,2.220446049250313e-16,0.8087966926043239,0.1523667160512484
136,1.5208902610753752,1.0366318891037312,3.1466649002775926e-16,1.1102230246251565e-16,1.140208281550573,0.09913421893071045
137,1.3950405700574577,1.1206605531105458,3.654263420022884e-16,2.220446049250313e-16,1.1170525856907985,0.08341424665656905
138,1.5004633525077138,1.041798104296301,2.5669900131666584e-16,1.6659882840969536e-17,1.0942631949604957,0.1006999257188605
139,1.3678655205278054,1.1019723402754202,3.6500926763500844e-16,1.1102230246251565e-16,1.0524448140142901,0.04721237746138573
140,1.5972343506110456,1.0940371691959092,1.9998316923404973e-16,2.194908997381797e-16,0.8104888033552938,0.1582870017934152
141,1.488524937905851,1.0860606256854042,2.341938401837312e-16,5.1920554167783644e-17,1.1954016777795755,0.04885850530881086
142,1.4593506247412091,1.054215460989217,1.698328079491993e-16,1.1913793378866607e-16,0.8031568475847597,0.08852150169588083
143,1.5391313962701043,1.0621783494905195,2.9149086265235307e-16,0.0,1.1188122502631976,-0.14204529787258943
144,1.541175412368072,1.077768062253436,3.296360663060403e-16,9.016190685559966e-17,0.9982733907741559,-0.09887390067390972
145,1.469834161343494,1.0867570578474397,3.115732965371442e-16,1.7765036525948068e-16,0.9373253384839045,0.09872792875197833
146,1.5319055807716253,1.048394581122924,2.3524540328196642e-16,8.184269622576426e-17,1.007019080488806,-0.18938786101823282
147,1.3566725000463482,1.0774772817668885,5.777262930272999e-16,9.515011511490232e-17,0.9705253259059109,0.03006932378127103
148,1.4546983092231986,1.0764098154473858,1.49442475938819e-16,2.220446049250313e-16,0.8511492857688299,-0.07117622280601621
149,1.4159058414519503,1.0111825857065275,4.0389120938595395e-16,4.464176289531669e-17,1.005262692171063,0.1811901325690989
150,1.4244323000333825,1.0693012402322912,3.341307661199909e-16,1.9178789898000528e-16,1.170134110307994,-0.1016348453062971
151,1.3493979010696078,1.0967215881962127,5.180065166892291e-16,0.0,1.167058612363529,-0.0761229093609649
152,1.3331116642855376,1.0696959012363698,3.2374065406072417e-16,5.551115123125783e-17,0.883067039851726,0.09912348498163925
153,1.3695064003461448,1.0460928279362716,2.5338595650159787e-16,5.551115123125783e-17,1.0490828087047885,-0.13219853232622386
154,1.4644936835602693,1.1248793333995002,5.458061098185622e-16,1.6538879118217735e-16,0.8314230432316367,-0.14499005979795576
155,1.5702114934755358,1.12276993125412,4.735175510115641e-16,1.8046089590673167e-17,0.9362615822636151,0.13240872788371266
