case,time,source_a,inverse_a,causal_a,retained_error_a,discarded_error_a
finest-broad,4.2375,0.0,0.0,0.0,0.0,0.0
finest-broad,4.25,0.0,0.0,0.0,0.0,0.0
finest-broad,4.2625,0.0,0.0,0.0,0.0,0.0
finest-broad,4.275,0.0,0.0,0.0,0.0,0.0
finest-broad,4.2875000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.3,0.0,0.0,0.0,0.0,0.0
finest-broad,4.3125,0.0,0.0,0.0,0.0,0.0
finest-broad,4.325,0.0,0.0,0.0,0.0,0.0
finest-broad,4.3375,0.0,0.0,0.0,0.0,0.0
finest-broad,4.3500000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.3625,0.0,0.0,0.0,0.0,0.0
finest-broad,4.375,0.0,0.0,0.0,0.0,0.0
finest-broad,4.3875,0.0,0.0,0.0,0.0,0.0
finest-broad,4.4,0.0,0.0,0.0,0.0,0.0
finest-broad,4.4125000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.425,0.0,0.0,0.0,0.0,0.0
finest-broad,4.4375,0.0,0.0,0.0,0.0,0.0
finest-broad,4.45,0.0,0.0,0.0,0.0,0.0
finest-broad,4.4625,0.0,0.0,0.0,0.0,0.0
finest-broad,4.4750000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.4875,0.0,0.0,0.0,0.0,0.0
finest-broad,4.5,0.0,0.0,0.0,0.0,0.0
finest-broad,4.5125,0.0,0.0,0.0,0.0,0.0
finest-broad,4.525,0.0,0.0,0.0,0.0,0.0
finest-broad,4.5375000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.55,0.0,0.0,0.0,0.0,0.0
finest-broad,4.5625,0.0,0.0,0.0,0.0,0.0
finest-broad,4.575,0.0,0.0,0.0,0.0,0.0
finest-broad,4.5875,0.0,0.0,0.0,0.0,0.0
finest-broad,4.6000000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.6125,0.0,0.0,0.0,0.0,0.0
finest-broad,4.625,0.0,0.0,0.0,0.0,0.0
finest-broad,4.6375,0.0,0.0,0.0,0.0,0.0
finest-broad,4.65,0.0,0.0,0.0,0.0,0.0
finest-broad,4.6625000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.675,0.0,0.0,0.0,0.0,0.0
finest-broad,4.6875,0.0,0.0,0.0,0.0,0.0
finest-broad,4.7,0.0,0.0,0.0,0.0,0.0
finest-broad,4.7125,0.0,0.0,0.0,0.0,0.0
finest-broad,4.7250000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.7375,0.0,0.0,0.0,0.0,0.0
finest-broad,4.75,0.0,0.0,0.0,0.0,0.0
finest-broad,4.7625,0.0,0.0,0.0,0.0,0.0
finest-broad,4.775,0.0,0.0,0.0,0.0,0.0
finest-broad,4.7875000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.800000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,4.8125,0.0,0.0,0.0,0.0,0.0
finest-broad,4.825,0.0,0.0,0.0,0.0,0.0
finest-broad,4.8375,0.0,0.0,0.0,0.0,0.0
finest-broad,4.8500000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.862500000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,4.875,0.0,0.0,0.0,0.0,0.0
finest-broad,4.8875,0.0,0.0,0.0,0.0,0.0
finest-broad,4.9,0.0,0.0,0.0,0.0,0.0
finest-broad,4.9125000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.925000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,4.9375,0.0,0.0,0.0,0.0,0.0
finest-broad,4.95,0.0,0.0,0.0,0.0,0.0
finest-broad,4.9625,0.0,0.0,0.0,0.0,0.0
finest-broad,4.9750000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,4.987500000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,5.0,0.0,0.0,0.0,0.0,0.0
finest-broad,5.0125,0.0,0.0,0.0,0.0,0.0
finest-broad,5.025,0.0,0.0,0.0,0.0,0.0
finest-broad,5.0375000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,5.050000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,5.0625,0.0,0.0,0.0,0.0,0.0
finest-broad,5.075,0.0,0.0,0.0,0.0,0.0
finest-broad,5.0875,0.0,0.0,0.0,0.0,0.0
finest-broad,5.1000000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,5.112500000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,5.125,0.0,0.0,0.0,0.0,0.0
finest-broad,5.1375,0.0,0.0,0.0,0.0,0.0
finest-broad,5.15,0.0,0.0,0.0,0.0,0.0
finest-broad,5.1625000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,5.175000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,5.1875,0.0,0.0,0.0,0.0,0.0
finest-broad,5.2,0.0,0.0,0.0,0.0,0.0
finest-broad,5.2125,0.0,0.0,0.0,0.0,0.0
finest-broad,5.2250000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,5.237500000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,5.25,0.0,0.0,0.0,0.0,0.0
finest-broad,5.2625,0.0,0.0,0.0,0.0,0.0
finest-broad,5.275,0.0,0.0,0.0,0.0,0.0
finest-broad,5.2875000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,5.300000000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,5.3125,0.0,0.0,0.0,0.0,0.0
finest-broad,5.325,0.0,0.0,0.0,0.0,0.0
finest-broad,5.3375,0.0,0.0,0.0,0.0,0.0
finest-broad,5.3500000000000005,0.0,0.0,0.0,0.0,0.0
finest-broad,5.362500000000001,0.0,0.0,0.0,0.0,0.0
finest-broad,5.375,0.0,0.0,0.0,0.0,0.0
finest-broad,5.3875,0.0,0.0,0.0,0.0,0.0
