lambda,step,event,input_wire,ancestor,response
0.1,5e-06,8,2,1,3.257929473113846
0.1,5e-06,8,3,1,4.1660063052956176
0.1,5e-06,8,4,1,10.87260661795045
0.1,5e-06,8,5,1,8.560228652704264
0.1,5e-06,8,6,0,0.0
0.1,5e-06,8,7,0,0.0
0.1,5e-06,8,8,1,4.30361815660825
0.1,5e-06,8,9,1,4.809293425604805
0.1,5e-06,8,10,1,16.015397769865185
0.1,5e-06,8,11,0,0.0
0.1,5e-06,9,0,1,2.143339402701682
0.1,5e-06,9,1,1,2.982426074699839
0.1,5e-06,9,2,1,3.1480024614692654
0.1,5e-06,9,3,1,2.166326608247869
0.1,5e-06,9,4,1,3.32499538653438
0.1,5e-06,9,5,1,3.7271445146554885
0.1,5e-06,9,6,0,0.0
0.1,5e-06,9,7,0,0.0
0.1,5e-06,9,8,1,2.8999130037124927
0.1,5e-06,9,9,1,3.8475565584744924
0.1,5e-06,9,10,1,5.037978596641626
0.1,5e-06,9,11,0,0.0
0.1,5e-06,10,0,1,2.045711991840381
0.1,5e-06,10,1,1,2.981474935396862
0.1,5e-06,10,2,1,3.0291269707339072
0.1,5e-06,10,3,1,2.03829822273615
0.1,5e-06,10,4,1,5.826614629839959
0.1,5e-06,10,5,1,4.654257735724598
0.1,5e-06,10,6,0,0.0
0.1,5e-06,10,7,0,0.0
0.1,5e-06,10,8,1,3.1971362365754534
0.1,5e-06,10,9,1,2.5165347742421242
0.1,5e-06,10,10,1,8.293658880690497
0.1,5e-06,10,11,0,0.0
0.1,5e-06,11,0,0,0.0
0.1,5e-06,11,1,0,0.0
0.1,5e-06,11,2,0,0.0
0.1,5e-06,11,3,0,0.0
0.1,5e-06,11,4,0,0.0
0.1,5e-06,11,5,0,0.0
0.1,5e-06,11,6,1,1.662726342010986
0.1,5e-06,11,7,1,1.6441280859534506
0.1,5e-06,11,8,0,0.0
0.1,5e-06,11,9,0,0.0
0.1,5e-06,11,10,0,0.0
0.1,5e-06,11,11,1,1.566341651894066
