preparation,time,local_chi,mode_coordinate,mode_momentum,mode_energy_fraction,charge_fraction,charge_balance_fraction,total_energy,outer_energy_sink,core_peak
fine,1076.4,-0.00025042340763232476,-0.0002504536987806804,0.0003995873851278853,0.9999690075304181,0.9999999994917615,2.556887794621038e-15,2616.329222916504,2.184168648576425e-06,0.7426157992099662
fine,1076.6,-0.00016975203031519397,-0.00016977318146363596,0.0004067504188913454,0.9999682033034463,0.9999999994917599,2.556887794621038e-15,2616.329222142741,2.184175472995543e-06,0.7426163919416281
fine,1076.8,-8.792465603477373e-05,-8.793640754010319e-05,0.00041114325087491334,0.9999677440180721,0.999999999491758,2.2372768202934083e-15,2616.329221531165,2.1841822540819957e-06,0.7426167782394327
fine,1077.0,-5.498573782063336e-06,-5.50073325579019e-06,0.0004127359514632594,0.9999675866481668,0.9999999994917564,2.397082307457223e-15,2616.3292211624125,2.1841887194160326e-06,0.7426169092146343
fine,1077.2,7.696485394025446e-05,7.697240434908505e-05,0.00041151766639528875,0.9999677018617471,0.9999999994917548,2.397082307457223e-15,2616.329221085347,2.1841947989194053e-06,0.7426167739449696
fine,1077.4,0.00015890401531153545,0.00015892131232683317,0.0004074966925268631,0.9999680844630289,0.9999999994917533,2.556887794621038e-15,2616.3292213105615,2.1842003585324254e-06,0.7426163998040078
fine,1077.6,0.00023976087534797143,0.0002397878686671522,0.00040070042159231085,0.999968754459979,0.9999999994917516,2.556887794621038e-15,2616.329221808897,2.184205395452641e-06,0.7426158471067807
fine,1077.8,0.0003189847774572238,0.0003190213247088305,0.0003911751522693231,0.9999697484041065,0.9999999994917498,2.397082307457223e-15,2616.3292225151763,2.1842099872613453e-06,0.7426151991296479
fine,1078.0,0.00039603619395900787,0.0003960820569127382,0.00037898577209324375,0.999971103389543,0.9999999994917482,2.397082307457223e-15,2616.329223336696,2.1842143686060112e-06,0.7426145492276436
fine,1078.2,0.00047039039957290254,0.00047044524221960413,0.00036421531194895406,0.9999728382099603,0.9999999994917468,2.556887794621038e-15,2616.3292241653685,2.184218605004537e-06,0.7426139871303669
fine,1078.4,0.000541541042616515,0.000541604431869828,0.0003469643769231137,0.99997493706711,0.9999999994917447,2.0774713331295934e-15,2616.3292248919192,2.184222980243813e-06,0.7426135865018464
fine,1078.6,0.0006090035896501241,0.0006090749994103476,0.0003273504581795996,0.999977340642509,0.9999999994917435,2.397082307457223e-15,2616.3292254202966,2.184227676849065e-06,0.7426133955281099
fine,1078.8,0.0006723186204969176,0.0006723974396182348,0.0003055071312096862,0.9999799474244202,0.9999999994917416,2.2372768202934083e-15,2616.3292256803766,2.184232813286017e-06,0.7426134317110603
fine,1079.0,0.0007310549518706557,0.0007311404961950299,0.0002815831463220311,0.9999826254362574,0.9999999994917401,2.397082307457223e-15,2616.3292256372883,2.1842384344780163e-06,0.7426136813228551
fine,1079.2,0.0007848125691912764,0.0007849040972989098,0.0002557414176214191,0.9999852316848652,0.9999999994917383,2.2372768202934083e-15,2616.329225296117,2.184244555575184e-06,0.7426141032350033
fine,1079.4,0.0008332253475053076,0.0008333220792640403,0.00022815791704504062,0.999987634515785,0.9999999994917367,2.2372768202934083e-15,2616.3292247013387,2.1842509685971112e-06,0.742614636210727
fine,1079.6,0.0008759635437204547,0.0008760646802022495,0.0001990204803526922,0.9999897332238262,0.9999999994917351,2.2372768202934083e-15,2616.329223931046,2.1842575640772196e-06,0.742615208321157
fine,1079.8,0.0009127360436241494,0.0009128407865996541,0.0001685275323657211,0.9999914699680119,0.9999999994917337,2.397082307457223e-15,2616.329223086714,2.1842640882190713e-06,0.7426157469747777
fine,1080.0,0.0009432923484216705,0.0009433999175287303,0.0001368867392592441,0.9999928311039,0.9999999994917319,2.2372768202934083e-15,2616.329222279828,2.1842703629492095e-06,0.7426161881347978
fine,1080.2,0.0009674242868631886,0.000967533932718247,0.00010431359634160224,0.9999938379168923,0.9999999994917305,2.2372768202934083e-15,2616.3292216171512,2.184276229155317e-06,0.7426164835856945
fine,1080.4,0.0009849674405052287,0.0009850784524813572,7.102996047749843e-05,0.9999945296300473,0.999999999491729,2.397082307457223e-15,2616.3292211865737,2.18428156749075e-06,0.7426166055377809
